Sample,Homo,Het,Haploid.Cov,Error.Rate,Model.Fit,Genome.Size..b.,Genome.Size..Mb.,Label,Pop.x,Family,Env.x,Sex,Treatment,Sample.1,EPSPS_het,EPSPS_cov,EPSPS_copy,EPSPS_err,EPSPS_fit,EPSPS_length,scaling,EPSPS_scaledcov,EPSPS_scaledcopy,EPSPS_mapped_cov_mean,EPSPS_mapped_cov_var,Env.y,Pop.y,Lat,Long,Pair,plinkorder,sample2,Long,Lat
4899,97.1,2.87,14.3,0.00305,0.776,516070118,516.070118,Mulberry_Ag_198_M_So,Mulberry,198,Ag,M,So,4899,0.0158,61.2,4.601503759,0.00627,4.38,10910,1.091,66.7692,5.020240602,4.725973,1.534331,Agricultural,Mulberry,38.755485,-89.272475,5,49,4899,-89.272475,38.755485
4902,97,2.97,14.3,0.00273,0.733,518483592,518.483592,Gascondale_Nat_166_M_So,Gascondale,166,Nat,M,So,4902,0.0106,20.3,1.5859375,0.00599,1.25,11435,1.1435,23.21305,1.813519531,1.601199,0.20714,Natural,Gascondale,38.66783702,-91.55559699,9,47,4902,-91.55559699,38.66783702
4907,97.1,2.88,13.1,0.00303,1.15,498345984,498.345984,Greenup_Ag_8_F_Co,Greenup,8,Ag,F,Co,4907,0.00545,8.13,0.5685314685,0.00358,0.126,21445,2.1445,17.434785,1.219215734,1.280997,0.22964,Agricultural,Greenup,39.305104,-88.139778,4,32,4907,-88.139778,39.305104
4909,97.5,2.49,15.4,0.00415,0.715,534903026,534.903026,Bradley_Ag_153_M_Co,Bradley,153,Ag,M,Co,4909,0.0113,66,4.615384615,0.00698,3.89,11156,1.1156,73.6296,5.148923077,4.70655,0.868137,Agricultural,Bradley,41.16467102,-87.81988903,14,63,4909,-87.81988903,41.16467102
4912,97.2,2.84,13.3,0.00312,0.853,534875554,534.875554,FoxRidge_Nat_75_F_Co,FoxRidge,75,Nat,F,Co,4912,2.41E-02,13.7,1.045801527,0.0049,1.62,11842,1.1842,16.22354,1.238438168,1.063568,0.187652,Natural,FoxRidge,39.393248,-88.163216,4,93,4912,-88.163216,39.393248
4917,97.1,2.92,11.3,0.00359,0.669,569330104,569.330104,Weston_Ag_136_M_Co,Weston,136,Ag,M,Co,4917,0.0266,12.8,0.8311688312,0.00351,0.505,11167,1.1167,14.29376,0.9281662338,1.081533,0.191499,Agricultural,Weston,41.37218297,-83.79889,1,48,4917,-83.79889,41.37218297
4919,96.9,3.1,13.5,0.00234,0.962,539437988,539.437988,Aurora_Nat_5_F_Wa,Aurora,5,Nat,F,Wa,4919,0.0183,15,1.127819549,0.00592,0.736,11294,1.1294,16.941,1.273759398,1.129918,0.29942,Natural,Aurora,39.05562996,-84.89810603,3,68,4919,-84.89810603,39.05562996
4921,97.7,2.28,11.7,0.00308,0.74,559559606,559.559606,Lawrence_Nat_133_F_So,Lawrence,133,Nat,F,So,4921,0.00241,37.2,3.292035398,0.00472,0.875,10851,1.0851,40.36572,3.572187611,3.133008,0.540681,Natural,Lawrence,38.927036,-95.241462,17,43,4921,-95.241462,38.927036
4925,97.2,2.83,13.2,0.00332,0.771,531198086,531.198086,Pontoon_Nat_79_F_Co,Pontoon,79,Nat,F,Co,4925,0.0201,52.1,3.859259259,0.00334,1.08,11209,1.1209,58.39889,4.325843704,4.134891,0.643108,Natural,Pontoon,38.699066,-90.068054,6,42,4925,-90.068054,38.699066
4928,97.1,2.89,13.2,0.00188,0.711,537725275,537.725275,Mulberry_Ag_192_F_So,Mulberry,192,Ag,F,So,4928,0.00162,39.7,3.393162393,0.00288,0.729,11098,1.1098,44.05906,3.765731624,3.036152,0.441063,Agricultural,Mulberry,38.755485,-89.272475,5,37,4928,-89.272475,38.755485
