sample	env	sex	lat	long	year	state
5208	Nat	F	40.12487104	-90.36914203	2019	Illinois
5209	Nat	F	38.699066	-90.068054	2019	Illinois
5213	Nat	M	40.57469501	-89.65567603	2019	Illinois
5216	Ag	M	41.06360497	-83.78943597	2019	Ohio
5219	Nat	M	41.03727398	-83.81345096	2019	Ohio
5220	Nat	M	38.65643696	-90.73639403	2019	Missouri
5221	Nat	M	41.31732501	-86.746256	2019	Indiana
5222	Ag	M	41.16467102	-87.81988903	2019	Illinois
5223	Nat	F	38.732444	-89.277403	2019	Illinois
5225	Ag	M	38.988681	-95.215847	2019	Kansas
5227	Ag	F	38.66890403	-90.63545798	2019	Missouri
5233	Ag	F	40.17519498	-90.26269396	2019	Illinois
5234	Ag	M	38.6589929	-90.7440433	2019	Missouri
5238	Ag	M	38.988681	-95.215847	2019	Kansas
5239	Ag	F	38.755485	-89.272475	2019	Illinois
5242	Ag	F	38.755485	-89.272475	2019	Illinois
5244	Ag	F	38.988681	-95.215847	2019	Kansas
5247	Ag	F	41.35604002	-86.73699299	2019	Indiana
5249	Ag	M	38.66890403	-90.63545798	2019	Missouri
5258	Ag	F	38.670222	-90.065665	2019	Illinois
5261	Ag	M	39.305104	-88.139778	2019	Illinois
5262	Ag	M	40.82949003	-88.66930699	2019	Illinois
5264	Ag	M	38.782048	-95.171401	2019	Kansas
5268	Ag	M	41.35604002	-86.73699299	2019	Indiana
5270	Ag	M	38.6589929	-90.7440433	2019	Missouri
5271	Ag	F	38.988681	-95.215847	2019	Kansas
5277	Nat	F	40.87326997	-88.62446599	2019	Illinois
5284	Nat	M	38.699066	-90.068054	2019	Illinois
5285	Ag	F	41.16467102	-87.81988903	2019	Illinois
5287	Ag	F	38.782048	-95.171401	2019	Kansas
5294	Nat	F	41.03727398	-83.81345096	2019	Ohio
5296	Ag	M	38.988681	-95.215847	2019	Kansas
5300	Nat	F	40.57469501	-89.65567603	2019	Illinois
5312	Nat	F	38.732444	-89.277403	2019	Illinois
5316	Nat	M	40.12487104	-90.36914203	2019	Illinois
5317	Nat	M	39.001464	-95.239938	2019	Kansas
5320	Nat	M	38.66783702	-91.55559699	2019	Missouri
5321	Nat	M	39.001464	-95.239938	2019	Kansas
5323	Ag	M	39.305104	-88.139778	2019	Illinois
5325	Nat	M	40.57469501	-89.65567603	2019	Illinois
5326	Nat	M	41.15132703	-87.89857297	2019	Illinois
5329	Nat	M	40.12487104	-90.36914203	2019	Illinois
5330	Nat	M	41.03727398	-83.81345096	2019	Ohio
5333	Ag	M	41.37218297	-83.79889	2019	Ohio
5334	Nat	M	40.12487104	-90.36914203	2019	Illinois
5337	Nat	M	41.55656599	-83.66247503	2019	Ohio
5343	Nat	M	38.558781	-90.447501	2019	Missouri
5346	Ag	M	39.305104	-88.139778	2019	Illinois
5348	Nat	F	40.57469501	-89.65567603	2019	Illinois
5357	Ag	F	39.305104	-88.139778	2019	Illinois
5359	Ag	F	39.01893298	-84.92674196	2019	Indiana
5368	Nat	F	38.66783702	-91.55559699	2019	Missouri
5369	Nat	F	39.001464	-95.239938	2019	Kansas
5375	Nat	F	39.393248	-88.163216	2019	Illinois
5377	Nat	F	38.558781	-90.447501	2019	Missouri
5378	Nat	M	38.732444	-89.277403	2019	Illinois
5380	Ag	M	40.17519498	-90.26269396	2019	Illinois
5381	Ag	F	38.670222	-90.065665	2019	Illinois
5385	Nat	M	39.393248	-88.163216	2019	Illinois
5387	Ag	F	38.63920603	-91.51230698	2019	Missouri
5389	Nat	F	41.03727398	-83.81345096	2019	Ohio
5393	Ag	M	39.305104	-88.139778	2019	Illinois
5394	Ag	M	38.66890403	-90.63545798	2019	Missouri
5395	Nat	M	38.558781	-90.447501	2019	Missouri
5396	Nat	M	39.393248	-88.163216	2019	Illinois
5400	Ag	M	38.63920603	-91.51230698	2019	Missouri
HB0900	Nat	F	40.900098	-90.991298	1876	Illinois
HB0901	Nat	M	41.154318	-87.919365	1870	Illinois
HB0902	Nat	M	40.900098	-90.991298	1875	Illinois
HB0903	Nat	F	41.823199	-88.174393	1897	Illinois
HB0904	Dist	F	41.779452	-87.61641	1892	Illinois
HB0907	Dist	M	41.818787	-87.706608	1897	Illinois
HB0908	Dist	M	40.114645	-87.875056	1952	Illinois
HB0909	Ag	F	41.782572	-90.138152	1946	Illinois
HB0910	Dist	M	42.481444	-88.157622	1948	Illinois
HB0911	Ag	F	39.127901	-89.860508	1947	Illinois
HB0912	Ag	M	41.457917	-88.308444	2005	Illinois
HB0913	Ag	M	39.959059	-90.611708	2000	Illinois
HB0914	Ag	M	41.67333333	-84.32694444	1895	Ohio
HB0915		NA	41.772246	-82.79184	1903	Ontario
HB0916	Dist	F	39.82083333	-84.01944444	1955	Ohio
HB0917	Ag	F	40.67861111	-84.51861111	1956	Ohio
HB0918	Nat	M	41.03944444	-84.15694444	1991	Ohio
HB0919	Dist	F	41.602259	-87.25837	1898	Indiana
HB0920	Ag	F	37.870283	-87.634147	1941	Indiana
HB0921	Ag		37.979365	-87.544518	1941	Indiana
HB0922	Ag	M	39.482726	-86.019624	1952	Indiana
